"Model","d.f.","BIC"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + urban + s(distance to sea) + s(day of year) + altitude:life-stage",50,"23.10"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(altitude) + s(distance to sea) + s(day of year)",50,"23.11"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + urban + s(distance to sea) + s(day of year)",49,"23.18"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + upstream catchment area + s(distance to sea) + s(day of year) + altitude:life-stage",50,"23.21"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + altitude:life-stage + day of year:pass",50,"23.34"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(upstream catchment area, by=pass) + s(day of year):life-stage + altitude:life-stage",55,"23.37"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + altitude:life-stage + gradient:pass",52,"23.38"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(altitude) + s(distance to sea) + s(day of year) + altitude:life-stage",50,"23.44"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + upstream catchment area + s(distance to sea) + s(day of year)",49,"23.77"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(urban):life-stage + s(day of year):life-stage + altitude:life-stage",55,"23.78"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea):life-stage + s(day of year):life-stage + altitude:life-stage",54,"23.96"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(altitude, by=pass) + s(day of year):life-stage + altitude:life-stage",52,"24.11"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + width:pass + altitude:life-stage",50,"24.31"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + altitude:life-stage + gradient:life-stage",52,"24.33"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + width:life-stage + altitude:life-stage",50,"24.51"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year, by=pass) + altitude:life-stage",52,"24.53"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(day of year) + s(day of year):life-stage",51,"24.54"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(day of year) + s(altitude):life-stage",52,"24.57"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(upstream catchment area) + s(day of year) + altitude:life-stage",51,"24.59"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(gradient) + s(day of year) + altitude:life-stage",52,"24.67"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + altitude:life-stage + woodland:pass",52,"24.69"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(altitude):life-stage + altitude:life-stage",52,"24.70"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(other) + s(day of year) + altitude:life-stage",52,"24.79"
"life-stage + organisation + year + pass + life-stage:pass + width + s(day of year)",45,"25.08"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(upstream catchment area, by=pass) + s(day of year):life-stage + altitude:life-stage",53,"25.29"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(width) + s(distance to sea) + s(day of year) + altitude:life-stage",50,"25.42"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + altitude:life-stage + upstream catchment area:pass",52,"25.46"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + altitude:life-stage + other:pass",52,"25.47"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + altitude:life-stage + upstream catchment area:life-stage",52,"25.49"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + marsh + s(distance to sea) + s(day of year) + altitude:life-stage",50,"25.67"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(urban, by=pass) + s(day of year):life-stage + altitude:life-stage",55,"25.69"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + altitude:life-stage + woodland:life-stage",52,"25.93"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + woodland + s(distance to sea) + s(day of year) + altitude:life-stage",50,"25.94"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + marsh + s(distance to sea) + s(day of year)",49,"26.08"
"life-stage + organisation + year + pass + life-stage:pass + day of year + s(distance to sea) + s(day of year)",49,"26.12"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(day of year)",49,"26.13"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(width) + s(distance to sea) + s(day of year)",49,"26.13"
"life-stage + organisation + year + pass + life-stage:pass + distance to sea + s(distance to sea) + s(day of year)",49,"26.13"
"life-stage + organisation + year + life-stage:pass + s(distance to sea) + s(day of year)",49,"26.13"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(day of year)",49,"26.13"
"life-stage + organisation + year + pass + life-stage:pass + width + s(width) + s(distance to sea) + s(day of year)",49,"26.13"
"organisation + year + pass + life-stage:pass + s(distance to sea) + s(day of year)",49,"26.13"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(urban):life-stage + s(day of year):life-stage + altitude:life-stage",53,"26.19"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(urban) + s(day of year)",50,"26.22"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + other + s(distance to sea) + s(day of year) + altitude:life-stage",50,"26.26"
"life-stage + organisation + year + pass + life-stage:pass + s(day of year)",47,"26.31"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea, by=pass) + s(day of year):life-stage + altitude:life-stage",54,"26.39"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + altitude:life-stage + marsh:life-stage",52,"26.42"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + altitude:life-stage + other:life-stage",52,"26.47"
