"Model","d.f.","BIC"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",60,"90.39"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year) + s(marsh):life-stage",60,"90.68"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year) + s(width, by=pass)",60,"90.80"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year) + s(width):life-stage",60,"91.01"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year) + s(marsh):life-stage",60,"91.06"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year) + s(distance to sea, by=pass)",60,"91.10"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year) + s(marsh, by=pass)",60,"91.46"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year) + s(marsh, by=pass)",60,"91.56"
"life-stage + organisation + year + pass + life-stage:pass + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",60,"92.30"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(other) + s(day of year)",61,"92.63"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(marsh) + s(other) + s(day of year)",61,"93.62"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(altitude, by=pass)",62,"93.86"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year) + s(upstream catchment area):life-stage",61,"94.50"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(day of year)",61,"94.96"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year) + s(upstream catchment area, by=pass)",62,"96.47"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(upstream catchment area, by=pass)",62,"96.47"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(day of year):life-stage",64,"96.61"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(woodland) + s(marsh) + s(other) + s(day of year)",61,"97.46"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(urban):life-stage",62,"97.56"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",58,"97.85"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year) + s(gradient):life-stage",61,"98.26"
"life-stage + organisation + year + pass + life-stage:pass + gradient + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",62,"98.97"
"life-stage + organisation + year + pass + life-stage:pass + width + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",62,"98.97"
"life-stage + organisation + year + pass + life-stage:pass + upstream catchment area + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",62,"98.97"
"life-stage + organisation + year + pass + life-stage:pass + woodland + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",62,"98.97"
"life-stage + organisation + year + pass + life-stage:pass + altitude + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",62,"98.97"
"life-stage + organisation + year + pass + hydrometric area + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",62,"98.97"
"life-stage + pass + life-stage:pass + organisation + year + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",62,"98.97"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",62,"98.97"
"life-stage + organisation + year + pass + life-stage:pass + distance to sea + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",62,"98.97"
"life-stage + organisation + year + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",62,"98.98"
"organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",62,"98.98"
"life-stage + organisation + year + pass + life-stage:pass + day of year + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",62,"98.98"
"life-stage + organisation + year + pass + life-stage:pass + marsh + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",62,"99.17"
"life-stage + organisation + year + pass + life-stage:pass + other + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",62,"99.17"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(day of year, by=pass)",62,"99.23"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year) + s(gradient, by=pass)",61,"99.55"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(woodland):life-stage",62,"99.60"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(distance to sea):life-stage",62,"99.69"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(other):life-stage",62,"100.17"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(urban, by=pass)",62,"100.30"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(other, by=pass)",62,"100.34"
"life-stage + organisation + year + pass + life-stage:pass + urban + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",62,"100.45"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(woodland, by=pass)",62,"100.63"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year) + s(upstream catchment area):life-stage",62,"100.99"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(upstream catchment area):life-stage",62,"100.99"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(altitude):life-stage",64,"101.19"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(width, by=pass)",62,"101.33"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(width):life-stage",62,"101.51"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(distance to sea, by=pass)",62,"101.56"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(marsh):life-stage",62,"101.59"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(marsh, by=pass)",62,"101.95"
"life-stage + organisation + year + pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",61,"101.99"
"life-stage + organisation + pass + life-stage:pass + s(width) + s(distance to sea) + s(day of year)",35,"102.00"
"life-stage + organisation + year + pass + hydrometric area + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year)",66,"103.58"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year) + s(gradient):life-stage",62,"104.82"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year) + s(gradient, by=pass)",62,"106.14"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(altitude, by=pass)",64,"108.68"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",60,"109.27"
"life-stage + organisation + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(day of year)",37,"110.72"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(upstream catchment area, by=pass)",64,"111.22"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(urban):life-stage",64,"112.65"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + altitude:life-stage",47,"113.08"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(day of year, by=pass)",64,"114.00"
"life-stage + organisation + year + pass + hydrometric area + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year)",68,"114.31"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(woodland):life-stage",64,"114.63"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(distance to sea):life-stage",64,"114.75"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(other):life-stage",64,"115.12"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(urban, by=pass)",64,"115.22"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(other, by=pass)",64,"115.29"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(woodland, by=pass)",64,"115.55"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(gradient):life-stage",64,"115.60"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(gradient):life-stage",64,"115.60"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(upstream catchment area):life-stage",64,"115.96"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(width, by=pass)",64,"116.30"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(distance to sea, by=pass)",64,"116.40"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(width):life-stage",64,"116.41"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(marsh):life-stage",64,"116.47"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(marsh, by=pass)",64,"116.85"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(gradient, by=pass)",64,"116.89"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(gradient, by=pass)",64,"116.89"
"life-stage + organisation + year + pass + hydrometric area + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year)",69,"120.99"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + altitude:life-stage",48,"121.35"
"life-stage + pass + life-stage:pass + organisation + year + hydrometric area + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",71,"124.54"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",71,"124.54"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea)",46,"125.02"
"life-stage + organisation + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year)",39,"126.76"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + altitude:life-stage",47,"128.10"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",71,"129.40"
"life-stage + organisation + year + pass + hydrometric area + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",71,"129.40"
"life-stage + pass + life-stage:pass + organisation + year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",71,"129.40"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea)",45,"130.22"
"life-stage + pass + life-stage:pass + organisation + year + hydrometric area + s(altitude) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",71,"133.58"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",71,"133.58"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea)",47,"133.86"
"life-stage + organisation + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year)",41,"134.83"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(other) + s(day of year)",72,"135.86"
"life-stage + pass + life-stage:pass + organisation + year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(other) + s(day of year)",72,"135.86"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(marsh) + s(other) + s(day of year)",72,"137.28"
"life-stage + pass + life-stage:pass + organisation + year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(marsh) + s(other) + s(day of year)",72,"137.28"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(day of year)",72,"138.68"
"life-stage + pass + life-stage:pass + organisation + year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(day of year)",72,"138.68"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(day of year):life-stage",75,"141.85"
"life-stage + organisation + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year)",42,"142.08"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(woodland) + s(marsh) + s(other) + s(day of year)",72,"142.11"
"life-stage + pass + life-stage:pass + organisation + year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(woodland) + s(marsh) + s(other) + s(day of year)",72,"142.11"
"life-stage + organisation + year + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",73,"142.15"
"life-stage + life-stage:pass + organisation + year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",73,"142.15"
"life-stage + organisation + year + pass + life-stage:pass + distance to sea + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",73,"142.16"
"life-stage + organisation + year + pass + life-stage:pass + woodland + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",73,"142.21"
"pass + life-stage:pass + organisation + year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",73,"142.23"
"organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",73,"142.23"
"life-stage + pass + life-stage:pass + organisation + year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",73,"142.24"
"life-stage + organisation + year + pass + hydrometric area + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",73,"142.24"
"life-stage + organisation + year + pass + life-stage:pass + marsh + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",73,"142.26"
"life-stage + organisation + year + pass + life-stage:pass + gradient + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",73,"142.35"
"life-stage + organisation + year + pass + life-stage:pass + other + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",73,"142.41"
"life-stage + organisation + year + pass + life-stage:pass + altitude + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",73,"142.51"
"life-stage + organisation + year + pass + life-stage:pass + upstream catchment area + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",73,"142.56"
"life-stage + organisation + year + pass + life-stage:pass + day of year + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",73,"142.58"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea)",49,"142.69"
"life-stage + organisation + year + pass + life-stage:pass + width + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",73,"142.80"
"life-stage + organisation + year + pass + life-stage:pass + urban + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",73,"143.19"
"life-stage + organisation + year + pass + life-stage:pass + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",71,"143.34"
"life-stage + pass + life-stage:pass + organisation + year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",71,"143.34"
"life-stage + organisation + year + pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",72,"144.84"
"life-stage + pass + organisation + year + hydrometric area + s(altitude) + s(upstream catchment area) + s(distance to sea) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",72,"144.84"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(altitude):life-stage",75,"145.40"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea)",51,"148.51"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",71,"150.89"
"life-stage + pass + life-stage:pass + organisation + year + hydrometric area + s(altitude) + s(upstream catchment area) + s(gradient) + s(width) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",71,"150.89"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(altitude, by=pass)",75,"152.60"
"life-stage + organisation + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",44,"152.79"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(upstream catchment area, by=pass)",75,"153.65"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(urban):life-stage",75,"156.25"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(day of year, by=pass)",75,"157.42"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(urban, by=pass)",75,"157.91"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(woodland):life-stage",75,"158.20"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(gradient):life-stage",75,"158.30"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(distance to sea):life-stage",75,"158.47"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(other):life-stage",75,"158.72"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(other, by=pass)",75,"158.93"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(woodland, by=pass)",75,"158.98"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(marsh):life-stage",75,"159.04"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(upstream catchment area):life-stage",75,"159.34"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(width):life-stage",75,"159.50"
